Year,state,Population
1960,Alabama,3266740
1961,Alabama,3302000
1962,Alabama,3358000
1963,Alabama,3347000
1964,Alabama,3407000
1965,Alabama,3462000
1966,Alabama,3517000
1967,Alabama,3540000
1968,Alabama,3566000
1969,Alabama,3531000
1970,Alabama,3444165
1971,Alabama,3479000
1972,Alabama,3510000
1973,Alabama,3539000
1974,Alabama,3577000
1975,Alabama,3614000
1976,Alabama,3665000
1977,Alabama,3690000
1978,Alabama,3742000
1979,Alabama,3769000
1980,Alabama,3861466
1981,Alabama,3916000
1982,Alabama,3943000
1983,Alabama,3959000
1984,Alabama,3990000
1985,Alabama,4021000
1986,Alabama,4053000
1987,Alabama,4083000
1988,Alabama,4127000
1989,Alabama,4118000
1990,Alabama,4040587
1991,Alabama,4089000
1992,Alabama,4136000
1993,Alabama,4187000
1994,Alabama,4219000
1995,Alabama,4253000
1996,Alabama,4273000
1997,Alabama,4319000
1998,Alabama,4352000
1999,Alabama,4369862
2000,Alabama,4447100
2001,Alabama,4468912
2002,Alabama,4478869
2003,Alabama,4503726
2004,Alabama,4525375
2005,Alabama,4548327
2006,Alabama,4599030
2007,Alabama,4627851
2008,Alabama,4677464
2009,Alabama,4708708
2010,Alabama,4785401
2011,Alabama,4803689
2012,Alabama,4822023
1960,Alaska,226167
1961,Alaska,234000
1962,Alaska,246000
1963,Alaska,248000
1964,Alaska,250000
1965,Alaska,253000
1966,Alaska,272000
1967,Alaska,272000
1968,Alaska,277000
1969,Alaska,282000
1970,Alaska,302173
1971,Alaska,313000
1972,Alaska,325000
1973,Alaska,330000
1974,Alaska,337000
1975,Alaska,352000
1976,Alaska,382000
1977,Alaska,407000
1978,Alaska,403000
1979,Alaska,406000
1980,Alaska,440142
1981,Alaska,412000
1982,Alaska,438000
1983,Alaska,479000
1984,Alaska,500000
1985,Alaska,521000
1986,Alaska,534000
1987,Alaska,525000
1988,Alaska,513000
1989,Alaska,527000
1990,Alaska,550043
1991,Alaska,570000
1992,Alaska,587000
1993,Alaska,599000
1994,Alaska,606000
1995,Alaska,604000
1996,Alaska,607000
1997,Alaska,609000
1998,Alaska,614000
1999,Alaska,619500
2000,Alaska,626932
2001,Alaska,633630
2002,Alaska,641482
2003,Alaska,648280
2004,Alaska,657755
2005,Alaska,663253
2006,Alaska,670053
2007,Alaska,683478
2008,Alaska,688125
2009,Alaska,698473
2010,Alaska,714146
2011,Alaska,723860
2012,Alaska,731449
1960,Arizona,1302161
1961,Arizona,1391000
1962,Arizona,1509000
1963,Arizona,1559000
1964,Arizona,1581000
1965,Arizona,1608000
1966,Arizona,1618000
1967,Arizona,1634000
1968,Arizona,1670000
1969,Arizona,1693000
1970,Arizona,1772482
1971,Arizona,1849000
1972,Arizona,1945000
1973,Arizona,2058000
1974,Arizona,2153000
1975,Arizona,2224000
1976,Arizona,2270000
1977,Arizona,2296000
1978,Arizona,2354000
1979,Arizona,2450000
1980,Arizona,2715357
1981,Arizona,2793000
1982,Arizona,2860000
1983,Arizona,2963000
1984,Arizona,3053000
1985,Arizona,3187000
1986,Arizona,3317000
1987,Arizona,3386000
1988,Arizona,3466000
1989,Arizona,3556000
1990,Arizona,3665228
1991,Arizona,3750000
1992,Arizona,3832000
1993,Arizona,3936000
1994,Arizona,4075000
1995,Arizona,4218000
1996,Arizona,4428000
1997,Arizona,4555000
1998,Arizona,4669000
1999,Arizona,4778332
2000,Arizona,5130632
2001,Arizona,5306966
2002,Arizona,5441125
2003,Arizona,5579222
2004,Arizona,5739879
2005,Arizona,5953007
2006,Arizona,6166318
2007,Arizona,6338755
2008,Arizona,6499377
2009,Arizona,6595778
2010,Arizona,6413158
2011,Arizona,6467315
2012,Arizona,6553255
1960,Arkansas,1786272
1961,Arkansas,1797000
1962,Arkansas,1823000
1963,Arkansas,1858000
1964,Arkansas,1933000
1965,Arkansas,1960000
1966,Arkansas,1955000
1967,Arkansas,1968000
1968,Arkansas,2012000
1969,Arkansas,1995000
1970,Arkansas,1923295
1971,Arkansas,1944000
1972,Arkansas,1978000
1973,Arkansas,2037000
1974,Arkansas,2062000
1975,Arkansas,2116000
1976,Arkansas,2109000
1977,Arkansas,2144000
1978,Arkansas,2186000
1979,Arkansas,2180000
1980,Arkansas,2284037
1981,Arkansas,2294000
1982,Arkansas,2291000
1983,Arkansas,2328000
1984,Arkansas,2349000
1985,Arkansas,2359000
1986,Arkansas,2372000
1987,Arkansas,2388000
1988,Arkansas,2422000
1989,Arkansas,2406000
1990,Arkansas,2350725
1991,Arkansas,2372000
1992,Arkansas,2399000
1993,Arkansas,2424000
1994,Arkansas,2453000
1995,Arkansas,2484000
1996,Arkansas,2510000
1997,Arkansas,2523000
1998,Arkansas,2538000
1999,Arkansas,2551373
2000,Arkansas,2673400
2001,Arkansas,2694698
2002,Arkansas,2706268
2003,Arkansas,2727774
2004,Arkansas,2750000
2005,Arkansas,2775708
2006,Arkansas,2810872
2007,Arkansas,2834797
2008,Arkansas,2867764
2009,Arkansas,2889450
2010,Arkansas,2921588
2011,Arkansas,2938582
2012,Arkansas,2949131
1960,California,15717204
1961,California,16397000
1962,California,16970000
1963,California,17590000
1964,California,18084000
1965,California,18602000
1966,California,18918000
1967,California,19153000
1968,California,19221000
1969,California,19443000
1970,California,19953134
1971,California,20223000
1972,California,20468000
1973,California,20601000
1974,California,20907000
1975,California,21185000
1976,California,21520000
1977,California,21896000
1978,California,22294000
1979,California,22696000
1980,California,23532680
1981,California,24159000
1982,California,24724000
1983,California,25174000
1984,California,25622000
1985,California,26365000
1986,California,26981000
1987,California,27663000
1988,California,28168000
1989,California,29063000
1990,California,29760021
1991,California,30380000
1992,California,30867000
1993,California,31211000
1994,California,31431000
1995,California,31589000
1996,California,31878000
1997,California,32268000
1998,California,32667000
1999,California,33145121
2000,California,33871648
2001,California,34600463
2002,California,35001986
2003,California,35462712
2004,California,35842038
2005,California,36154147
2006,California,36457549
2007,California,36553213
2008,California,36580371
2009,California,36961664
2010,California,37338198
2011,California,37683933
2012,California,38041430
1960,Colorado,1753947
1961,Colorado,1781000
1962,Colorado,1907000
1963,Colorado,1961000
1964,Colorado,1966000
1965,Colorado,1969000
1966,Colorado,1977000
1967,Colorado,1975000
1968,Colorado,2048000
1969,Colorado,2100000
1970,Colorado,2207259
1971,Colorado,2283000
1972,Colorado,2357000
1973,Colorado,2437000
1974,Colorado,2496000
1975,Colorado,2534000
1976,Colorado,2583000
1977,Colorado,2619000
1978,Colorado,2670000
1979,Colorado,2772000
1980,Colorado,2878407
1981,Colorado,2963000
1982,Colorado,3045000
1983,Colorado,3139000
1984,Colorado,3178000
1985,Colorado,3231000
1986,Colorado,3267000
1987,Colorado,3296000
1988,Colorado,3290000
1989,Colorado,3317000
1990,Colorado,3294394
1991,Colorado,3377000
1992,Colorado,3470000
1993,Colorado,3566000
1994,Colorado,3656000
1995,Colorado,3747000
1996,Colorado,3823000
1997,Colorado,3893000
1998,Colorado,3971000
1999,Colorado,4056133
2000,Colorado,4301261
2001,Colorado,4430989
2002,Colorado,4501051
2003,Colorado,4547633
2004,Colorado,4601821
2005,Colorado,4663295
2006,Colorado,4753377
2007,Colorado,4861515
2008,Colorado,4935213
2009,Colorado,5024748
2010,Colorado,5047692
2011,Colorado,5116302
2012,Colorado,5187582
1960,Connecticut,2535234
1961,Connecticut,2614000
1962,Connecticut,2597000
1963,Connecticut,2666000
1964,Connecticut,2766000
1965,Connecticut,2832000
1966,Connecticut,2875000
1967,Connecticut,2925000
1968,Connecticut,2959000
1969,Connecticut,3000000
1970,Connecticut,3032217
1971,Connecticut,3081000
1972,Connecticut,3082000
1973,Connecticut,3076000
1974,Connecticut,3088000
1975,Connecticut,3095000
1976,Connecticut,3117000
1977,Connecticut,3108000
1978,Connecticut,3099000
1979,Connecticut,3115000
1980,Connecticut,3095224
1981,Connecticut,3132000
1982,Connecticut,3153000
1983,Connecticut,3138000
1984,Connecticut,3154000
1985,Connecticut,3174000
1986,Connecticut,3189000
1987,Connecticut,3211000
1988,Connecticut,3241000
1989,Connecticut,3239000
1990,Connecticut,3287116
1991,Connecticut,3291000
1992,Connecticut,3281000
1993,Connecticut,3277000
1994,Connecticut,3275000
1995,Connecticut,3275000
1996,Connecticut,3274000
1997,Connecticut,3270000
1998,Connecticut,3274000
1999,Connecticut,3282031
2000,Connecticut,3405565
2001,Connecticut,3434602
2002,Connecticut,3458587
2003,Connecticut,3486960
2004,Connecticut,3498966
2005,Connecticut,3500701
2006,Connecticut,3504809
2007,Connecticut,3502309
2008,Connecticut,3502932
2009,Connecticut,3518288
2010,Connecticut,3575498
2011,Connecticut,3586717
2012,Connecticut,3590347
1960,Delaware,446292
1961,Delaware,458000
1962,Delaware,469000
1963,Delaware,476000
1964,Delaware,491000
1965,Delaware,505000
1966,Delaware,512000
1967,Delaware,524000
1968,Delaware,534000
1969,Delaware,540000
1970,Delaware,548104
1971,Delaware,558000
1972,Delaware,565000
1973,Delaware,576000
1974,Delaware,573000
1975,Delaware,579000
1976,Delaware,582000
1977,Delaware,582000
1978,Delaware,583000
1979,Delaware,582000
1980,Delaware,594779
1981,Delaware,598000
1982,Delaware,602000
1983,Delaware,606000
1984,Delaware,613000
1985,Delaware,622000
1986,Delaware,633000
1987,Delaware,644000
1988,Delaware,660000
1989,Delaware,673000
1990,Delaware,666168
1991,Delaware,680000
1992,Delaware,689000
1993,Delaware,700000
1994,Delaware,706000
1995,Delaware,717000
1996,Delaware,725000
1997,Delaware,732000
1998,Delaware,744000
1999,Delaware,753538
2000,Delaware,783600
2001,Delaware,796599
2002,Delaware,805945
2003,Delaware,818166
2004,Delaware,830069
2005,Delaware,841741
